name,tag,rank,xeng
4I4H_Z9Z,run5_s43,1,1.0521011897413985
4I4H_Z9Z,run5_s43,2,1.0423306299071573
4I4H_Z9Z,run5_s43,3,1.0086565866500268
4I4H_Z9Z,run5_s43,4,0.9697014900336054
4K9T_1RD,run5_s43,0,1.650263435109486
4K9T_1RD,run5_s43,1,1.240147371418356
4K9T_1RD,run5_s43,2,1.4266953253846362
4K9T_1RD,run5_s43,3,1.6370592656267728
4K9T_1RD,run5_s43,4,1.0989858299315982
4K9U_5AW,run5_s43,0,1.1297337296181418
4K9U_5AW,run5_s43,1,1.450860583685193
4K9U_5AW,run5_s43,2,1.1816072860591202
4K9U_5AW,run5_s43,3,1.2240998060110768
4K9U_5AW,run5_s43,4,1.4417781729645216
4K9V_6AW,run5_s43,0,0.7736520404451314
4K9V_6AW,run5_s43,1,0.8731259172869333
4K9V_6AW,run5_s43,2,0.8447698439114208
4K9V_6AW,run5_s43,3,0.8813667141467494
4K9V_6AW,run5_s43,4,0.9416267049833059
4K9W_7AW,run5_s43,0,1.1618581098356435
4K9W_7AW,run5_s43,1,1.1572329311281846
4K9W_7AW,run5_s43,2,1.176603482166914
4K9W_7AW,run5_s43,3,0.9407768929577146
4K9W_7AW,run5_s43,4,1.0535512398833224
4K9X_8AW,run5_s43,0,0.7484596850813267
4K9X_8AW,run5_s43,1,0.7246356063890199
4K9X_8AW,run5_s43,2,0.8140328689947027
4K9X_8AW,run5_s43,3,0.7535623886470767
4K9X_8AW,run5_s43,4,0.79757493225186
4NY4_2QH,run5_s43,0,0.8346145695031255
4NY4_2QH,run5_s43,1,0.8174923599345891
4NY4_2QH,run5_s43,2,0.7653872700908474
4NY4_2QH,run5_s43,3,0.8195660379558652
4NY4_2QH,run5_s43,4,0.8560944736425724
5G5J_MF8,run5_s43,0,1.3976050473214527
5G5J_MF8,run5_s43,1,1.5598486351314975
5G5J_MF8,run5_s43,2,2.215366678695197
5G5J_MF8,run5_s43,3,1.4849575631495036
5G5J_MF8,run5_s43,4,2.003053389006737
5TE8_08J,run5_s43,0,1.6287221303234505
5TE8_08J,run5_s43,1,1.3586422546754902
5TE8_08J,run5_s43,2,1.4586356049277265
5TE8_08J,run5_s43,3,1.5875677298418813
5TE8_08J,run5_s43,4,1.6158442841276428
6BCZ_D7Y,run5_s43,0,1.080096247792166
6BCZ_D7Y,run5_s43,1,1.1128130943099535
